timestamp,pitch,pitch_rate,error,integral,wheel_vel,control_output
8.112000,0.184382,-0.205538,-0.074382,-0.049666,-6.196366,-6.196366
8.116000,0.183985,0.273208,-0.073985,-0.049962,-6.226892,-6.226892
8.120000,0.182860,1.222075,-0.072860,-0.050253,-6.248884,-6.248884
8.124000,0.178801,2.588212,-0.068801,-0.050528,-6.238053,-6.238053
8.128000,0.174343,2.402845,-0.064343,-0.050786,-6.221178,-6.221178
8.132000,0.172746,1.120259,-0.062746,-0.051037,-6.233758,-6.233758
8.136000,0.170474,0.336622,-0.060474,-0.051279,-6.238057,-6.238057
8.140000,0.172010,-0.875515,-0.062010,-0.051527,-6.282943,-6.282943
8.144000,0.173275,-0.506523,-0.063275,-0.051780,-6.325084,-6.325084
8.148000,0.174675,0.668649,-0.064675,-0.052039,-6.368930,-6.368930
8.152000,0.176294,1.621169,-0.066294,-0.052304,-6.415511,-6.415511
8.156000,0.174779,2.089387,-0.064779,-0.052563,-6.428273,-6.428273
8.160000,0.172319,0.571323,-0.062319,-0.052812,-6.430150,-6.430150
8.164000,0.171900,-0.132237,-0.061900,-0.053060,-6.453466,-6.453466
8.168000,0.171215,-0.752700,-0.061215,-0.053305,-6.473630,-6.473630
8.172000,0.172863,-0.401314,-0.062863,-0.053556,-6.518997,-6.518997
8.176000,0.173815,0.579598,-0.063815,-0.053811,-6.557227,-6.557227
8.180000,0.174125,1.096513,-0.064125,-0.054068,-6.588737,-6.588737
8.184000,0.162993,0.983843,-0.052993,-0.054280,-6.495156,-6.495156
8.188000,0.151491,0.198381,-0.041491,-0.054446,-6.393757,-6.393757
8.192000,0.150352,-0.436070,-0.040352,-0.054607,-6.401588,-6.401588
8.196000,0.149463,-0.728077,-0.039463,-0.054765,-6.411362,-6.411362
8.200000,0.149430,-0.671243,-0.039430,-0.054923,-6.429850,-6.429850
8.204000,0.134666,0.579944,-0.024666,-0.055021,-6.286863,-6.286863
8.208000,0.123125,0.663528,-0.013125,-0.055074,-6.173889,-6.173889
8.212000,0.115019,0.697010,-0.005019,-0.055094,-6.094083,-6.094083
8.216000,0.106313,-0.190415,0.003687,-0.055079,-6.004342,-6.004342
8.220000,0.096131,-1.009749,0.013869,-0.055024,-5.894830,-5.894830
8.224000,0.081481,-1.088988,0.028519,-0.054910,-5.732271,-5.732271
8.228000,0.070834,-0.636784,0.039166,-0.054753,-5.607765,-5.607765
8.232000,0.060650,-0.073381,0.049350,-0.054556,-5.483804,-5.483804
8.236000,0.046204,-0.385376,0.063796,-0.054300,-5.308805,-5.308805
8.240000,0.036037,-0.896561,0.073963,-0.054005,-5.174764,-5.174764
8.244000,0.023505,-1.764752,0.086495,-0.053659,-5.010340,-5.010340
8.248000,0.010651,-1.751241,0.099349,-0.053261,-4.837099,-4.837099
8.252000,0.000041,-1.585058,0.109959,-0.052821,-4.682935,-4.682935
8.256000,-0.009121,-1.093010,0.119121,-0.052345,-4.539891,-4.539891
8.260000,-0.015260,-0.584797,0.125260,-0.051844,-4.425685,-4.425685
8.264000,-0.031438,-0.153801,0.141438,-0.051278,-4.198483,-4.198483
8.268000,-0.043159,-0.546246,0.153159,-0.050665,-4.013567,-4.013567
8.272000,-0.051694,-0.829811,0.161694,-0.050019,-3.858416,-3.858416
8.276000,-0.064923,-2.459933,0.174923,-0.049319,-3.647889,-3.647889
8.280000,-0.067371,-2.893683,0.177371,-0.048609,-3.549729,-3.549729
8.284000,-0.073683,-2.861814,0.183683,-0.047875,-3.407359,-3.407359
8.288000,-0.078724,-2.222419,0.188724,-0.047120,-3.275792,-3.275792
8.292000,-0.082852,-1.549411,0.192852,-0.046348,-3.151625,-3.151625
8.296000,-0.089275,-1.312491,0.199275,-0.045551,-3.000138,-3.000138
8.300000,-0.095108,-1.347321,0.205108,-0.044731,-2.852195,-2.852195
